shadow_rank,consolidated_decision,decision_reasons,evidence_tier,source_count,source_ids,source_kinds,source_lag_status,source_lag_required,canonical_key,canonical_expression,canonical_skeleton,blueprint_id,semantic_pair,motif,horizon_h,expression,skeleton_key,train_sortino,validation_sortino,test_sortino,recent_sortino,min_oos_sortino,min_oos_floor_sortino,stress_floor_sortino,recent_sharpe,recent_rankic,recent_avg_turnover,recent_control_ratio,recent_shuffle_control_ratio,oos_control_dominated_count,oos_lag_stale_dominated_count,hard_reject,hard_reject_reasons,gate_pass,pareto_rank,source_file
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))|h=4","safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))",canonical,a7search6_vp_a7search6_e7ee64f0ef980aca_canonical,open_interest|positioning,safe_div_abs_validation,4,"SafeDiv(TSRank(open_interest_value_last,504),Abs(Mean(top_long_short_account_ratio_last,8)))",canonical,2.2738576446171823,5.271790543779058,7.214840376121423,14.710083629564677,5.271790543779058,5.038342430873139,8.304834540703954,8.65501741148378,0.0560110814577664,0.0524980709876544,1.0158831934458268,0.3210523385792581,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"sub(csrank(tsrank(open_interest_value_last,504)),csrank(mean(taker_buy_sell_volume_ratio_last,72)))|h=4","sub(csrank(tsrank(open_interest_value_last,504)),csrank(mean(taker_buy_sell_volume_ratio_last,72)))",canonical,a7search6_vp_a7search6_370b9d993902426e_canonical,open_interest|taker_flow,adjacent_spread_rank_validation,4,"Sub(CSRank(TSRank(open_interest_value_last,504)),CSRank(Mean(taker_buy_sell_volume_ratio_last,72)))",canonical,2.726378970883633,2.8842227055329923,3.808577303778289,13.67464726514392,2.8842227055329923,2.127915171337908,4.074610072370986,8.313191299946826,0.0487448475494933,0.0569559879692527,1.0077193208610398,0.3759326318053724,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"sub(csrank(zscore(mean(account_position_divergence,24))),csrank(decay(mark_index_basis_bps,336)))|h=24","sub(csrank(zscore(mean(account_position_divergence,24))),csrank(decay(mark_index_basis_bps,336)))",canonical,a7search6_vp_a7search6_0159a7544af64b1d_canonical,basis|positioning,adjacent_spread_rank_validation,24,"Sub(CSRank(ZScore(Mean(account_position_divergence,24))),CSRank(Decay(mark_index_basis_bps,336)))",canonical,1.6347384114031094,2.8905533746655627,6.626640669766962,8.607326949314796,2.8905533746655627,1.6807072360069186,0.9772596698662788,4.158991685589683,0.0504328350345767,0.0113976170044462,0.983428017901338,0.2209045769785103,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(decay(top_long_short_account_ratio_last,12),abs(zscore(mean(quote_volume_z_168h,504))))|h=8","safediv(decay(top_long_short_account_ratio_last,12),abs(zscore(mean(quote_volume_z_168h,504))))",canonical,a7search6_vp_a7search6_8d74bccf1d25af11_canonical,liquidity|positioning,adjacent_safe_div_abs_validation,8,"SafeDiv(Decay(top_long_short_account_ratio_last,12),Abs(ZScore(Mean(quote_volume_z_168h,504))))",canonical,2.3783222110877205,0.94911448919757,3.435024577338728,17.706072342025024,0.94911448919757,0.1802901551312249,9.852656827159208,9.348476059515413,0.0483012461175467,0.02030948591821,1.0236843743358508,0.1333056442133906,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_NOT_TESTED,True,"mul(zscore(top_long_short_account_ratio_last),sign(decay(stress_proxy_state,336)))|h=4","mul(zscore(top_long_short_account_ratio_last),sign(decay(stress_proxy_state,336)))",canonical,a7search6_vp_a7search6_9115fe1cea3feca0_canonical,positioning|regime,regime_signed_validation,4,"Mul(ZScore(top_long_short_account_ratio_last),Sign(Decay(stress_proxy_state,336)))",canonical,0.972032131963238,0.5080133213719311,4.790273398427532,14.352323105997607,0.5080133213719311,0.0822740014150789,4.657907601946731,8.050099449424168,0.0245315694374172,0.0241774570794754,1.0146524188861146,0.2644355206729888,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(zscore(mean(open_interest_value_mean,504)),abs(global_long_short_account_ratio_last))|h=4","safediv(zscore(mean(open_interest_value_mean,504)),abs(global_long_short_account_ratio_last))",canonical,a7search6_vp_a7search6_06c5d4a2d2ce5d98_canonical,open_interest|positioning,safe_div_abs_validation,4,"SafeDiv(ZScore(Mean(open_interest_value_mean,504)),Abs(global_long_short_account_ratio_last))",canonical,1.236135194502097,8.010974058552176,10.610973321572391,10.701972874329558,8.010974058552176,7.550702544593065,4.145939260092989,6.588259575970021,0.0264576282225419,0.0222559799382717,0.9903769907105522,0.6590381042894469,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))|h=24","safediv(csrank(delta(open_interest_value_last,96)),abs(decay(account_position_divergence,48)))",canonical,a7search6_vp_a7search6_4c8a38ddff3fb132_canonical,open_interest|positioning,safe_div_abs_validation,24,"SafeDiv(CSRank(Delta(open_interest_value_last,96)),Abs(Decay(account_position_divergence,48)))",canonical,2.801252690439641,9.739676131095967,30.31272551108393,17.627852714561087,9.739676131095967,5.71299367203425,3.219211361560081,6.906367050897668,0.0613966722103869,0.046189597800926,0.9928830705095776,0.0809607874853919,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(sub(csrank(tsrank(open_interest_value_mean,504)),csrank(csrank(global_long_short_account_ratio_last))),abs(csrank(csrank(global_long_short_account_ratio_last))))|h=4","safediv(sub(csrank(tsrank(open_interest_value_mean,504)),csrank(csrank(global_long_short_account_ratio_last))),abs(csrank(csrank(global_long_short_account_ratio_last))))",canonical,a7search6_vp_a7search6_5a326bbdc99cd2b9_canonical,open_interest|positioning,scaled_spread_abs_validation,4,"SafeDiv(Sub(CSRank(TSRank(open_interest_value_mean,504)),CSRank(CSRank(global_long_short_account_ratio_last))),Abs(CSRank(CSRank(global_long_short_account_ratio_last))))",canonical,1.4395687666345784,5.537420079616851,8.95718218359043,14.191410092765237,5.537420079616851,4.890189691094218,7.0829763162669135,8.65534400251907,0.0504978221067613,0.0573449080633823,1.022423673940751,0.5080940252161642,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(sub(csrank(tsrank(open_interest_value_mean,504)),csrank(csrank(global_long_short_account_ratio_last))),abs(csrank(csrank(global_long_short_account_ratio_last))))|h=8","safediv(sub(csrank(tsrank(open_interest_value_mean,504)),csrank(csrank(global_long_short_account_ratio_last))),abs(csrank(csrank(global_long_short_account_ratio_last))))",canonical,a7search6_vp_a7search6_5a326bbdc99cd2b9_canonical,open_interest|positioning,scaled_spread_abs_validation,8,"SafeDiv(Sub(CSRank(TSRank(open_interest_value_mean,504)),CSRank(CSRank(global_long_short_account_ratio_last))),Abs(CSRank(CSRank(global_long_short_account_ratio_last))))",canonical,1.3504826038497542,6.017430131482515,8.43704871309625,17.60455353588553,6.017430131482515,4.125183679165237,5.875784919580283,9.61493732200609,0.0671909182964577,0.0573449080633823,1.0365322278138842,0.2366949409390046,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_NOT_TESTED,True,"mul(zscore(global_long_short_account_ratio_last),sign(decay(stress_proxy_state,336)))|h=4","mul(zscore(global_long_short_account_ratio_last),sign(decay(stress_proxy_state,336)))",canonical,a7search6_vp_a7search6_05d9f75e309aa068_canonical,positioning|regime,regime_signed_validation,4,"Mul(ZScore(global_long_short_account_ratio_last),Sign(Decay(stress_proxy_state,336)))",canonical,0.4537984865650687,1.0022704285944992,7.276993271344691,14.8729879784741,1.0022704285944992,0.4618995880031337,5.127330469214959,7.94306787947336,0.0217182930746304,0.0247224030671297,0.999755526074138,0.6447167278740142,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7SEARCH6_SELECTED_R1|A7SEARCH6_VALIDATION_R2,strict_reward,HOLD_SOURCE_LAG_NOT_TESTED,True,"mul(csrank(abs(csrank(global_long_short_account_ratio_last))),sign(decay(stress_proxy_state,336)))|h=4","mul(csrank(abs(csrank(global_long_short_account_ratio_last))),sign(decay(stress_proxy_state,336)))",canonical,a7search6_vp_a7search6_215546fe5dfda21c_canonical,positioning|regime,adjacent_signed_rank_validation,4,"Mul(CSRank(Abs(CSRank(global_long_short_account_ratio_last))),Sign(Decay(stress_proxy_state,336)))",canonical,0.4537984865650687,1.0022704285944992,7.276993271344691,14.8729879784741,1.0022704285944992,0.4618995880031337,5.127330469214959,7.94306787947336,0.0217182930746304,0.0247224030671297,0.999755526074138,0.4526777266885142,0,0,False,,True,1,runtime/a7search6_validation_pack_reward_r2_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,2,A7LS30_SELECTED_TOP|A7REWARD1_OLD_ACCEPTED,diagnostic_numeric|strict_reward_legacy,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))|h=24","safediv(zscore(mean(open_interest_value_last,504)),abs(mean(account_position_divergence,96)))",open_interest_like|positioning_like|safe_div_abs|7946a7d9baa2,a7ls30_32f8844234cc65fc,open_interest_like|positioning_like,safe_div_abs,24,"SafeDiv(ZScore(Mean(open_interest_value_last,504)),Abs(Mean(account_position_divergence,96)))",open_interest_like|positioning_like|safe_div_abs|7946a7d9baa2,2.60547134675401,5.807372950621256,25.16428009751352,7.307378412929296,5.807372950621256,2.585305985784468,0.7953057164334593,3.620561394599244,0.0266753612703216,0.0054295669367284,1.0038939110655867,0.8269167529191586,,,False,,True,1,runtime/a7reward1_portfolio_reward_model_20260610/a7reward1_accepted_for_next_search.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_SELECTED_R1,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(zscore(tsrank(open_interest_value_last,336)),abs(csrank(zscore(mean(top_long_short_account_ratio_last,24)))))|h=8","safediv(zscore(tsrank(open_interest_value_last,336)),abs(csrank(zscore(mean(top_long_short_account_ratio_last,24)))))","safediv(zscore(tsrank(field,w)),abs(csrank(zscore(mean(field,w)))))",a7search6_351a19252c9ff820,open_interest|positioning,z_safe_div_abs_csrank,8,"SafeDiv(ZScore(TSRank(open_interest_value_last,336)),Abs(CSRank(ZScore(Mean(top_long_short_account_ratio_last,24)))))","SafeDiv(ZScore(TSRank(FIELD,W)),Abs(CSRank(ZScore(Mean(FIELD,W)))))",3.310878935697399,6.335858817048028,8.244223365430216,8.853331662689005,6.335858817048028,4.896081637666643,3.1542044709108925,5.126028652549964,0.0475555653689335,0.0531093267746914,1.0641887183922187,0.6519412751377976,0,0,False,,True,1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_SELECTED_R1,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))|h=8","safediv(tsrank(open_interest_value_last,504),abs(mean(top_long_short_account_ratio_last,8)))","safediv(tsrank(field,w),abs(mean(field,w)))",a7search6_e7ee64f0ef980aca,open_interest|positioning,safe_div_abs,8,"SafeDiv(TSRank(open_interest_value_last,504),Abs(Mean(top_long_short_account_ratio_last,8)))","SafeDiv(TSRank(FIELD,W),Abs(Mean(FIELD,W)))",2.221957293805992,6.607291684113305,6.165426995803061,17.974194487621336,6.165426995803061,4.667775657159013,9.74089755527978,9.033306073863214,0.0744712834645497,0.0524980709876544,1.028019370904835,0.3467361142018118,0,0,False,,True,1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_SELECTED_R1,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"mul(csrank(zscore(mean(open_interest_mean,12))),sign(decay(mark_index_basis_bps,336)))|h=24","mul(csrank(zscore(mean(open_interest_mean,12))),sign(decay(mark_index_basis_bps,336)))","mul(csrank(zscore(mean(field,w))),sign(decay(field,w)))",a7search6_8185d7e38fbfef0a,basis|open_interest,adjacent_signed_rank,24,"Mul(CSRank(ZScore(Mean(open_interest_mean,12))),Sign(Decay(mark_index_basis_bps,336)))","Mul(CSRank(ZScore(Mean(FIELD,W))),Sign(Decay(FIELD,W)))",1.5814500907977926,7.524400920649735,3.6646840958974254,5.930819867768408,3.6646840958974254,2.1663380310008677,4.64037201080338,2.7098786124716603,0.0156042665133178,0.001756004050926,0.9898749051351284,0.1809673579395681,0,0,False,,True,1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
,SOURCE_LAG_RETEST_REQUIRED,source_lag_required_not_proven,TIER3_STRICT_NEEDS_SOURCE_LAG,1,A7SEARCH6_SELECTED_R1,strict_reward,HOLD_SOURCE_LAG_FRAGILE,True,"sub(csrank(tsrank(open_interest_value_last,504)),csrank(mean(taker_buy_sell_volume_ratio_last,72)))|h=8","sub(csrank(tsrank(open_interest_value_last,504)),csrank(mean(taker_buy_sell_volume_ratio_last,72)))","sub(csrank(tsrank(field,w)),csrank(mean(field,w)))",a7search6_370b9d993902426e,open_interest|taker_flow,adjacent_spread_rank,8,"Sub(CSRank(TSRank(open_interest_value_last,504)),CSRank(Mean(taker_buy_sell_volume_ratio_last,72)))","Sub(CSRank(TSRank(FIELD,W)),CSRank(Mean(FIELD,W)))",2.7928098795506977,3.071715644210701,3.293314562431061,17.386108617035994,3.071715644210701,1.0276083492370949,2.298842803951436,9.140354660272616,0.0660143109772869,0.0569559879692527,1.0010932272416742,0.1601246888839408,0,0,False,,True,1,runtime/a7search6_selected_full_reward_r1_aggregate_20260702/a7v3s0_reward_accepted_enriched.csv
