cell_id,ordinal,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,regime_fold_target,expression,bucketed_expression,max_window,horizon_bucket
C0005,0,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"TSMean(Clip(Decay(ResidualizeVsFundingCore(TSMean(WinsorZScore(TSMean(ret_6,3),1.5),4)),4),-3.0,3.0),8)","TSMean(Clip(Decay(ResidualizeVsFundingCore(TSMean(WinsorZScore(TSMean(ret_6,H6),1.5),H6)),H6),-3.0,3.0),H12)",8,H12
C0005,1,H00_low_turnover_robust,P9_price_basis,WinsorZScore,mixed_6_24,same_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"TSMean(Clip(Decay(ResidualizeVsFundingCore(Rank(TSMean(WinsorZScore(TSMean(ret_6,20),2.0),6))),10),-3.0,3.0),12)","TSMean(Clip(Decay(ResidualizeVsFundingCore(Rank(TSMean(WinsorZScore(TSMean(ret_6,H24),2.0),H6))),H12),-3.0,3.0),H12)",20,H24
C0006,0,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"Neg(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,24)),4))),4))","Neg(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,H24)),H6))),H6))",24,H24
C0006,1,H15_placebo_null_adversarial,P2_liquidity,RollingMinRank,H72,same_symbol_rank,FundingCore_and_Core4,F11_cross_symbol_crowding,"Neg(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(quote_asset_volume,96)),6)))),10))","Neg(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(quote_asset_volume,HGT72_LE144)),H6)))),H12))",96,HGT72_LE144
C0007,0,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,F4_basis_dislocation,"Sub(Decay(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,24)),Clip(Abs(ZScore(TSMean(cs_z_ret_6,48))),0.02,1.5)),4))),4),ZScore(TSStd(cs_z_ret_6,4)))","Sub(Decay(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,H24)),Clip(Abs(ZScore(TSMean(cs_z_ret_6,H48))),0.02,1.5)),H6))),H6),ZScore(TSStd(cs_z_ret_6,H6)))",48,H48
C0007,1,H06_liquidity_structure_ex_realized_vol_mul,P7_cross_symbol_relative,SafeDivZScore,H72,cross_symbol_rank,FundingCore,F4_basis_dislocation,"Sub(Decay(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,96)),Clip(Abs(ZScore(TSMean(cs_z_ret_12,36))),0.05,2.0)),6)))),10),ZScore(TSStd(cs_z_ret_6,10)))","Sub(Decay(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(SafeDiv(ZScore(TSMean(cs_z_ret_6,HGT72_LE144)),Clip(Abs(ZScore(TSMean(cs_z_ret_12,H48))),0.05,2.0)),H6)))),H12),ZScore(TSStd(cs_z_ret_6,H12)))",96,HGT72_LE144
C0008,0,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,F10_volatility_compression,"Sub(TSMean(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,3)),4)),4),ZScore(TSStd(quote_asset_volume,4)))","Sub(TSMean(ResidualizeVsFundingCore(TSMean(Rank(RollingMin(quote_asset_volume,H6)),H6)),H6),ZScore(TSStd(quote_asset_volume,H6)))",4,H6
C0008,1,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,RollingMinRank,H12,same_symbol_zscore,FundingCore,F10_volatility_compression,"Sub(TSMean(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(quote_asset_volume,20)),6))),10),ZScore(TSStd(quote_asset_volume,10)))","Sub(TSMean(ResidualizeVsFundingCore(Rank(TSMean(Rank(RollingMin(quote_asset_volume,H24)),H6))),H12),ZScore(TSStd(quote_asset_volume,H12)))",20,H24
C0009,0,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,F0_calendar_blocks,"Neg(TSMean(TSMean(Mul(TSRank(taker_buy_ratio,3),ZScore(TSMean(taker_buy_ratio,8))),4),4))","Neg(TSMean(TSMean(Mul(TSRank(taker_buy_ratio,H6),ZScore(TSMean(taker_buy_ratio,H12))),H6),H6))",8,H12
C0009,1,H15_placebo_null_adversarial,P4_taker_flow,TSRankMul,mixed_6_24,same_symbol_rank,none,F0_calendar_blocks,"Neg(TSMean(Rank(TSMean(Mul(TSRank(taker_buy_ratio,20),ZScore(TSMean(taker_imbalance,3))),6)),10))","Neg(TSMean(Rank(TSMean(Mul(TSRank(taker_buy_ratio,H24),ZScore(TSMean(taker_imbalance,H6))),H6)),H12))",20,H24
C0010,0,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,F10_volatility_compression,"Neg(TSMean(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(ret_6,3)),Rank(TSMean(ret_6,8))),4))),4))","Neg(TSMean(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Sub(Rank(TSMean(ret_6,H6)),Rank(TSMean(ret_6,H12))),H6))),H6))",8,H12
C0010,1,H15_placebo_null_adversarial,P9_price_basis,SubRank,mixed_6_24,cross_symbol_zscore,FundingCore,F10_volatility_compression,"Neg(TSMean(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(ret_6,20)),Rank(TSMean(ret_12,3))),6)))),10))","Neg(TSMean(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Sub(Rank(TSMean(ret_6,H24)),Rank(TSMean(ret_12,H6))),H6)))),H12))",20,H24
C0011,0,H13_symbol_tier_relative,P13_trade_size_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,F1_high_realized_vol,"CrossSymbolZScore(TSMean(ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(Decay(avg_trade_size_quote,3)),4))),4))","CrossSymbolZScore(TSMean(ResidualizeVsCore4(cross_symbol_rank(TSMean(ZScore(Decay(avg_trade_size_quote,H6)),H6))),H6))",4,H6
C0011,1,H13_symbol_tier_relative,P13_trade_size_volatility,DecayZScore,mixed_12_48,cross_symbol_rank,Core4,F1_high_realized_vol,"CrossSymbolZScore(TSMean(ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(Decay(avg_trade_size_quote,20)),6)))),10))","CrossSymbolZScore(TSMean(ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ZScore(Decay(avg_trade_size_quote,H24)),H6)))),H12))",20,H24
C0012,0,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,SafeDivZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,F9_liquidity_shock,"Sub(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,3)),Clip(Abs(ZScore(TSMean(quote_asset_volume,6))),0.02,1.5)),4)))),4),ZScore(TSStd(quote_asset_volume,4)))","Sub(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,H6)),Clip(Abs(ZScore(TSMean(quote_asset_volume,H6))),0.02,1.5)),H6)))),H6),ZScore(TSStd(quote_asset_volume,H6)))",6,H6
C0012,1,H06_liquidity_structure_ex_realized_vol_mul,P2_liquidity,SafeDivZScore,H12,cross_symbol_zscore,FundingCore_and_Core4,F9_liquidity_shock,"Sub(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,20)),Clip(Abs(ZScore(TSMean(number_of_trades,3))),0.05,2.0)),6))))),10),ZScore(TSStd(quote_asset_volume,10)))","Sub(TSMean(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(SafeDiv(ZScore(TSMean(quote_asset_volume,H24)),Clip(Abs(ZScore(TSMean(number_of_trades,H6))),0.05,2.0)),H6))))),H12),ZScore(TSStd(quote_asset_volume,H12)))",20,H24
C0013,0,H03_basis_premium_residual,P12_liquidity_flow,MulRankRank,mixed_6_24,cross_symbol_rank,none,F5_funding_neutral,"ResidualizeVsFundingCore(Decay(cross_symbol_rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,3)),Rank(TSMean(quote_volume_mean_12,8))),4)),4))","ResidualizeVsFundingCore(Decay(cross_symbol_rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,H6)),Rank(TSMean(quote_volume_mean_12,H12))),H6)),H6))",8,H12
C0013,1,H03_basis_premium_residual,P12_liquidity_flow,MulRankRank,mixed_6_24,cross_symbol_rank,none,F5_funding_neutral,"ResidualizeVsFundingCore(Decay(cross_symbol_rank(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,20)),Rank(TSMean(quote_volume_mean_24,3))),6))),10))","ResidualizeVsFundingCore(Decay(cross_symbol_rank(Rank(TSMean(Mul(Rank(TSMean(quote_volume_mean_12,H24)),Rank(TSMean(quote_volume_mean_24,H6))),H6))),H12))",20,H24
C0014,0,H07_taker_flow_lag_stable,P4_taker_flow,AddZScore,H48,cross_symbol_zscore,FundingCore,F2_low_liquidity,"Decay(Rank(Decay(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Add(ZScore(TSMean(taker_buy_ratio,12)),ZScore(TSMean(taker_buy_ratio,20))),4))),4)),8)","Decay(Rank(Decay(ResidualizeVsFundingCore(cross_symbol_zscore(TSMean(Add(ZScore(TSMean(taker_buy_ratio,H12)),ZScore(TSMean(taker_buy_ratio,H24))),H6))),H6)),H12)",20,H24
C0014,1,H07_taker_flow_lag_stable,P4_taker_flow,AddZScore,H48,cross_symbol_zscore,FundingCore,F2_low_liquidity,"Decay(Rank(Decay(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Add(ZScore(TSMean(taker_buy_ratio,60)),ZScore(TSMean(taker_imbalance,12))),6)))),10)),12)","Decay(Rank(Decay(ResidualizeVsFundingCore(cross_symbol_zscore(Rank(TSMean(Add(ZScore(TSMean(taker_buy_ratio,H72)),ZScore(TSMean(taker_imbalance,H12))),H6)))),H12)),H12)",60,H72
C0015,0,H10_range_breakout_failure,P10_price_liquidity,HorizonSpread,H48,same_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"Sub(Decay(ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Sub(Rank(TSMean(ret_6,12)),Rank(TSMean(ret_6,20))),4))),4),Sub(RollingMax(ret_6,4),RollingMin(ret_6,8)))","Sub(Decay(ResidualizeVsCore4(ResidualizeVsFundingCore(TSMean(Sub(Rank(TSMean(ret_6,H12)),Rank(TSMean(ret_6,H24))),H6))),H6),Sub(RollingMax(ret_6,H6),RollingMin(ret_6,H12)))",20,H24
C0015,1,H10_range_breakout_failure,P10_price_liquidity,HorizonSpread,H48,same_symbol_rank,FundingCore_and_Core4,F2_low_liquidity,"Sub(Decay(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Sub(Rank(TSMean(ret_6,60)),Rank(TSMean(ret_6,61))),6)))),10),Sub(RollingMax(ret_6,10),RollingMin(ret_12,12)))","Sub(Decay(ResidualizeVsCore4(ResidualizeVsFundingCore(Rank(TSMean(Sub(Rank(TSMean(ret_6,H72)),Rank(TSMean(ret_6,H72))),H6)))),H12),Sub(RollingMax(ret_6,H12),RollingMin(ret_12,H12)))",61,H72
C0016,0,H12_horizon_ensemble_stability,P8_regime_state,DecayZScore,mixed_12_48,cross_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"Add(Clip(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(ZScore(Decay(realized_vol_24,3)),4))),-4.0,4.0),HorizonSpread(realized_vol_24,4,8))","Add(Clip(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(ZScore(Decay(realized_vol_24,H6)),H6))),-4.0,4.0),HorizonSpread(realized_vol_24,H6,H12))",8,H12
C0016,1,H12_horizon_ensemble_stability,P8_regime_state,DecayZScore,mixed_12_48,cross_symbol_rank,FundingCore,F6_cross_symbol_dispersion,"Add(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(ZScore(Decay(realized_vol_24,20)),6)))),-4.0,4.0),HorizonSpread(realized_vol_24,10,12))","Add(Clip(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(ZScore(Decay(realized_vol_24,H24)),H6)))),-4.0,4.0),HorizonSpread(realized_vol_24,H12,H12))",20,H24
C0017,0,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,F2_low_liquidity,"TSMean(Clip(Clip(cross_symbol_zscore(TSMean(ZScore(TSStd(quote_asset_volume,24)),4)),-4.0,4.0),-3.0,3.0),8)","TSMean(Clip(Clip(cross_symbol_zscore(TSMean(ZScore(TSStd(quote_asset_volume,H24)),H6)),-4.0,4.0),-3.0,3.0),H12)",24,H24
C0017,1,H00_low_turnover_robust,P2_liquidity,TSStdZScore,H72,cross_symbol_zscore,none,F2_low_liquidity,"TSMean(Clip(Clip(cross_symbol_zscore(Rank(TSMean(ZScore(TSStd(quote_asset_volume,96)),6))),-4.0,4.0),-3.0,3.0),12)","TSMean(Clip(Clip(cross_symbol_zscore(Rank(TSMean(ZScore(TSStd(quote_asset_volume,HGT72_LE144)),H6))),-4.0,4.0),-3.0,3.0),H12)",96,HGT72_LE144
C0018,0,H01_cross_symbol_relative_strength,P14_horizon_spread,ResidualizeVsCore4,spread_12_vs_48,cross_symbol_rank,Core4,F7_trend_reversal,"CrossSymbolRank(Decay(ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,3)),ZScore(TSMean(ret_6,8)))),4))),4))","CrossSymbolRank(Decay(ResidualizeVsCore4(cross_symbol_rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,H6)),ZScore(TSMean(ret_6,H12)))),H6))),H6))",8,H12
C0018,1,H01_cross_symbol_relative_strength,P14_horizon_spread,ResidualizeVsCore4,spread_12_vs_48,cross_symbol_rank,Core4,F7_trend_reversal,"CrossSymbolRank(Decay(ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,20)),ZScore(TSMean(ret_12,3)))),6)))),10))","CrossSymbolRank(Decay(ResidualizeVsCore4(cross_symbol_rank(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(ret_6,H24)),ZScore(TSMean(ret_12,H6)))),H6)))),H12))",20,H24
C0019,0,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,F3_high_liquidity_high_vol,"Sub(Clip(cross_symbol_rank(TSMean(CrossSymbolRank(TSMean(ret_6,3)),4)),-4.0,4.0),ZScore(TSStd(ret_6,4)))","Sub(Clip(cross_symbol_rank(TSMean(CrossSymbolRank(TSMean(ret_6,H6)),H6)),-4.0,4.0),ZScore(TSStd(ret_6,H6)))",4,H6
C0019,1,H06_liquidity_structure_ex_realized_vol_mul,P9_price_basis,CrossSymbolRank,mixed_12_48,cross_symbol_rank,none,F3_high_liquidity_high_vol,"Sub(Clip(cross_symbol_rank(Rank(TSMean(CrossSymbolRank(TSMean(ret_6,20)),6))),-4.0,4.0),ZScore(TSStd(ret_6,10)))","Sub(Clip(cross_symbol_rank(Rank(TSMean(CrossSymbolRank(TSMean(ret_6,H24)),H6))),-4.0,4.0),ZScore(TSStd(ret_6,H12)))",20,H24
C0020,0,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,same_symbol_zscore,Core4,F0_calendar_blocks,"TSMean(Clip(TSMean(ResidualizeVsCore4(TSMean(Mul(Rank(TSMean(realized_vol_24,24)),Rank(TSMean(realized_vol_24,48))),4)),4),-3.0,3.0),8)","TSMean(Clip(TSMean(ResidualizeVsCore4(TSMean(Mul(Rank(TSMean(realized_vol_24,H24)),Rank(TSMean(realized_vol_24,H48))),H6)),H6),-3.0,3.0),H12)",48,H48
C0020,1,H00_low_turnover_robust,P8_regime_state,MulRankRank,H72,same_symbol_zscore,Core4,F0_calendar_blocks,"TSMean(Clip(TSMean(ResidualizeVsCore4(Rank(TSMean(Mul(Rank(TSMean(realized_vol_24,96)),Rank(TSMean(quote_volume_mean_24,36))),6))),10),-3.0,3.0),12)","TSMean(Clip(TSMean(ResidualizeVsCore4(Rank(TSMean(Mul(Rank(TSMean(realized_vol_24,HGT72_LE144)),Rank(TSMean(quote_volume_mean_24,H48))),H6))),H12),-3.0,3.0),H12)",96,HGT72_LE144
C0021,0,H13_symbol_tier_relative,P6_funding_observable,SubRank,H6,same_symbol_rank,Core4,F6_cross_symbol_dispersion,"CrossSymbolZScore(Clip(ResidualizeVsCore4(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,3)),Rank(TSMean(latest_known_funding_rate,8))),4)),-4.0,4.0))","CrossSymbolZScore(Clip(ResidualizeVsCore4(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,H6)),Rank(TSMean(latest_known_funding_rate,H12))),H6)),-4.0,4.0))",8,H12
C0021,1,H13_symbol_tier_relative,P6_funding_observable,SubRank,H6,same_symbol_rank,Core4,F6_cross_symbol_dispersion,"CrossSymbolZScore(Clip(ResidualizeVsCore4(Rank(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,3)),Rank(TSMean(funding_rate_z_24,8))),6))),-4.0,4.0))","CrossSymbolZScore(Clip(ResidualizeVsCore4(Rank(TSMean(Sub(Rank(TSMean(latest_known_funding_rate,H6)),Rank(TSMean(funding_rate_z_24,H12))),H6))),-4.0,4.0))",8,H12
C0022,0,H04_basis_compression_expansion,P4_taker_flow,DeltaRank,H24,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"HorizonSpread(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(Delta(taker_buy_ratio,6)),4)))),-4.0,4.0),4,8)","HorizonSpread(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(TSMean(Rank(Delta(taker_buy_ratio,H6)),H6)))),-4.0,4.0),H6,H12)",8,H12
C0022,1,H04_basis_compression_expansion,P4_taker_flow,DeltaRank,H24,cross_symbol_rank,FundingCore_and_Core4,F8_low_vol_high_liquidity,"HorizonSpread(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(Delta(taker_buy_ratio,30)),6))))),-4.0,4.0),10,12)","HorizonSpread(Clip(ResidualizeVsCore4(ResidualizeVsFundingCore(cross_symbol_rank(Rank(TSMean(Rank(Delta(taker_buy_ratio,H48)),H6))))),-4.0,4.0),H12,H12)",30,H48
C0023,0,H08_trade_size_microstructure_lite,P0_price_return,TSRankMul,mixed_12_48,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"SmoothInteraction(Clip(ResidualizeVsCore4(TSMean(Mul(TSRank(ret_3,3),ZScore(TSMean(ret_3,8))),4)),-4.0,4.0),TSMean(ret_3,4))","SmoothInteraction(Clip(ResidualizeVsCore4(TSMean(Mul(TSRank(ret_3,H6),ZScore(TSMean(ret_3,H12))),H6)),-4.0,4.0),TSMean(ret_3,H6))",8,H12
C0023,1,H08_trade_size_microstructure_lite,P0_price_return,TSRankMul,mixed_12_48,same_symbol_rank,Core4,F3_high_liquidity_high_vol,"SmoothInteraction(Clip(ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(ret_3,20),ZScore(TSMean(ret_6,3))),6))),-4.0,4.0),TSMean(ret_6,10))","SmoothInteraction(Clip(ResidualizeVsCore4(Rank(TSMean(Mul(TSRank(ret_3,H24),ZScore(TSMean(ret_6,H6))),H6))),-4.0,4.0),TSMean(ret_6,H12))",20,H24
C0024,0,H15_placebo_null_adversarial,P7_cross_symbol_relative,ResidualizeVsCore4,H48,same_symbol_rank,FundingCore,F10_volatility_compression,"Neg(Clip(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,12)),ZScore(TSMean(cs_z_ret_6,20)))),4)),-4.0,4.0))","Neg(Clip(ResidualizeVsFundingCore(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,H12)),ZScore(TSMean(cs_z_ret_6,H24)))),H6)),-4.0,4.0))",20,H24
C0024,1,H15_placebo_null_adversarial,P7_cross_symbol_relative,ResidualizeVsCore4,H48,same_symbol_rank,FundingCore,F10_volatility_compression,"Neg(Clip(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,60)),ZScore(TSMean(cs_z_ret_12,12)))),6))),-4.0,4.0))","Neg(Clip(ResidualizeVsFundingCore(Rank(TSMean(ResidualizeVsCore4(Mul(Rank(TSMean(cs_z_ret_6,H72)),ZScore(TSMean(cs_z_ret_12,H12)))),H6))),-4.0,4.0))",60,H72
