candidate_id,cell,expression,blocked_fields,selected_for_replay,diagnostic_only
a7al2k_5ee353fbe435526c,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,720)),ZScore(Delta(mark_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_ea384098e3a385a4,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,96)),Rank(Delta(trade_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_0d0564dd5eee506e,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,72)),Rank(Delta(trade_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_537ac523a404c318,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,504)),Rank(Delta(trade_close,24)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_8106b7936c298450,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,504)),ZScore(Delta(index_close,720)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_4855fcc1806affe7,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,12)),ZScore(Delta(index_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_a6bd532222353f35,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,24)),ZScore(Delta(mark_close,8)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_0576a93c243be4a5,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,48)),Rank(Delta(trade_close,4)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_8bc968c864364152,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,168)),ZScore(Delta(index_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c5a0457d0840119f,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,504)),Rank(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_0d61a4e9741c14b0,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,24)),Rank(Mean(index_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_b29771d39ab5b14c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,24)),Rank(Mean(trade_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_28ad2e60e408781f,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,12)),Rank(Delta(index_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_a09b7c3ed6cc60ae,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,96)),Rank(Delta(index_close,96)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_6630271895d080e0,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,12)),Rank(Mean(mark_close,504)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_2a0c88de489486a4,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,4)),Rank(Delta(mark_close,4)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9b7ecc6947166123,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,24)),Rank(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_6dbce834ca25c29e,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,720)),ZScore(Delta(index_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_359882248004e102,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,96)),Rank(Delta(mark_close,4)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7230f83303f16c0c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,12)),Rank(Mean(index_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_41f69c47f2ae6088,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,48)),Rank(Mean(trade_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_5fd980caffdc1e08,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,12)),Rank(Mean(trade_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_953012f51d4664f1,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,720)),Rank(Delta(trade_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7a83b365d5613e50,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,12)),Rank(Mean(index_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_10e08278c3d54c42,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,72)),Rank(Mean(mark_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_6f4535c70cc63d3e,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,720)),Rank(Delta(index_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_f27110aa47161bfd,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,8)),Rank(Mean(index_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_2288229b53cc230c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,720)),Rank(Mean(trade_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_d6ae8e85262b427a,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,504)),ZScore(Delta(mark_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_c64f666eb0cdc056,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,336)),Rank(Mean(mark_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_d62bc9b2ed0d6c94,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,48)),Rank(Delta(mark_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_7bdd7af5ba07a58d,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,24)),Rank(Delta(index_close,72)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_cd51641c11435efb,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,336)),Rank(Mean(mark_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_9684dd820c54e2be,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,504)),Rank(Delta(mark_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7eeceffa441e4515,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,4)),ZScore(Delta(index_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_7fac6b85ec63e3eb,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,48)),Rank(Delta(trade_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_20eca8d2cb92805b,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,72)),Rank(Delta(mark_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_1f1e43669163ca95,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,168)),ZScore(Delta(mark_close,504)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_b412b7c037f47b89,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,96)),ZScore(Delta(mark_close,48)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_3a088f8bd969a52a,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,168)),ZScore(Delta(mark_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_bb4c0f4a8b5cafb1,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,8)),Rank(Mean(index_close,336)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_eb64acd5095b0c01,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,336)),Rank(Delta(mark_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_caa31a980ab9bb6c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,48)),Rank(Mean(mark_close,720)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_4d4784120e92d06b,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,24)),Rank(Delta(trade_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_0416184b37fd23ec,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,4)),ZScore(Delta(index_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_21c6916283713aad,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,504)),Rank(Mean(trade_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_6343933dc67329ff,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,720)),ZScore(Delta(mark_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_68875eae315a992d,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,504)),Rank(Mean(index_close,336)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_aae9b3e6e3286092,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,12)),ZScore(Delta(mark_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_3a8bf5b1bd0da83f,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,72)),Rank(Delta(trade_close,48)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_d912368dd706bbba,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,72)),ZScore(Delta(mark_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_2241aa6c715c7641,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,168)),ZScore(Delta(trade_close,504)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_e1494ce5bb894ec9,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,8)),Rank(Mean(mark_close,720)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_68f3eb9b6dd9d324,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,48)),Rank(Delta(mark_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_6c0f1ae7d1049899,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,168)),Rank(Delta(index_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_892e8464bd92146c,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,504)),Rank(Delta(trade_close,96)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_48009fc921d2088d,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,720)),ZScore(Delta(index_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_1cddc937c5db7bf0,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,720)),Rank(Mean(index_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_1464d7afa1b97293,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,336)),Rank(Delta(trade_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_28d92c31e3b17e74,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,48)),Rank(Delta(index_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9d90b40ad719510d,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(mark_close,96)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_ec7549f16e0521b7,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,720)),ZScore(Delta(mark_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_54a50dde93217c64,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,720)),Rank(Delta(trade_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7f371b5166d5619d,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,336)),ZScore(Delta(mark_close,96)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_3393ab2ae7fa3525,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,720)),Rank(Mean(mark_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_7e914dcdace4e9cb,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,720)),Rank(Delta(index_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_a07fe02fb16cc683,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,336)),Rank(Mean(index_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_5317c9fa2139cdb2,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(index_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c716073baecd0ed5,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,336)),Rank(Delta(trade_close,48)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9ef7fdb4d230fb7e,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,168)),Rank(Delta(index_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_ddee46bf6530b363,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,504)),Rank(Delta(index_close,96)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_a2aa1faf18cb10d4,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,24)),Rank(Mean(trade_close,48)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_1e2c76570d7babc7,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,8)),ZScore(Delta(trade_close,24)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_6ef3988baaa433f9,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,24)),Rank(Mean(index_close,12)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_f0bc0917f17461c5,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,96)),Rank(Mean(index_close,12)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_b4f949b264436597,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,336)),ZScore(Delta(index_close,72)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_1c9c1239178801cd,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,168)),Rank(Delta(mark_close,24)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7e0f445d7cfa8b56,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,72)),ZScore(Delta(mark_close,720)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9568e104c2685837,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(index_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_154bb78c9623c168,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,72)),Rank(Mean(trade_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_f850fa8796a6eed1,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,504)),ZScore(Delta(index_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7330763110459558,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,168)),ZScore(Delta(mark_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_4ab8add1d87bf257,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(index_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_adecaff93f928bb9,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,504)),Rank(Mean(trade_close,4)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9be6d642b2f64897,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,8)),Rank(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_ed2b91a93589f3b2,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,24)),ZScore(Delta(index_close,504)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_cd435cc4213b3b24,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,72)),Rank(Delta(index_close,72)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_172b84d2e3a914fe,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(mark_close,12)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_7eb425657fd45bc4,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,4)),ZScore(Delta(trade_close,336)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c32e73adb74824de,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,72)),ZScore(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_19d60c9dec9939af,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,720)),Rank(Mean(index_close,48)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_baf883f3742510eb,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,96)),ZScore(Delta(trade_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_248eef17cb5b1ece,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,336)),Rank(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_2de502bd16be75ec,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,72)),Rank(Mean(trade_close,8)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_11d2e9c53494c243,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,168)),Rank(Mean(index_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c1142529719898df,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,8)),Rank(Mean(trade_close,336)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_1c30e5d03667b97a,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,504)),Rank(Mean(index_close,8)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_c6112f300544639c,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,48)),Rank(Mean(trade_close,12)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_d2cae057425a527e,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,24)),Rank(Delta(trade_close,12)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7a7f06bcebee7ef2,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(index_spread_bps_okx_minus_binance,504)),Rank(Mean(mark_close,8)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_799e4bbf23d6919c,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(mark_basis_bps_okx_minus_binance,504)),Rank(Delta(index_close,336)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_9b29e2dd22a4ec35,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,8)),ZScore(Delta(trade_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_547ff9ac316f4b41,J5_cross_exchange_overlay_diagnostic,"Sub(Rank(Mean(index_spread_bps_okx_minus_binance,8)),Rank(Delta(index_close,720)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_6322cbf48a7c7e4b,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,504)),ZScore(Delta(trade_close,4)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_36bcaa1e03a6a5a6,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,12)),ZScore(Delta(trade_close,168)))",index_spread_bps_okx_minus_binance,False,True
a7al2k_176811288c023e5d,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,168)),Rank(Mean(mark_close,168)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_1688c0159cc04002,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(mark_basis_bps_okx_minus_binance,8)),ZScore(Delta(mark_close,336)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_629613afca843bc6,J5_cross_exchange_overlay_diagnostic,"Mul(Sign(Delta(mark_basis_bps_okx_minus_binance,168)),Rank(Mean(index_close,8)))",mark_basis_bps_okx_minus_binance,False,True
a7al2k_7e616233890859fd,J5_cross_exchange_overlay_diagnostic,"Mul(ZScore(Mean(index_spread_bps_okx_minus_binance,8)),ZScore(Delta(mark_close,12)))",index_spread_bps_okx_minus_binance,False,True
