candidate_id,base_candidate_id,target_horizon_hours,decision,reject_reasons,pre_may_pass,post_may_eligible
a7o_l1_C0004_2036__A7R_H48,a7o_l1_C0004_2036,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0004_2036__A7R_H72,a7o_l1_C0004_2036,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0004_2036__A7R_H96,a7o_l1_C0004_2036,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0007_0757__A7R_H4,a7o_l1_C0007_0757,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive,False,False
a7o_l1_C0007_0757__A7R_H8,a7o_l1_C0007_0757,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0757__A7R_H12,a7o_l1_C0007_0757,12,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_residual_funding_negative,False,False
a7o_l1_C0007_0757__A7R_H24,a7o_l1_C0007_0757,24,A7R_HORIZON_HOLD,raw_validation_nonpositive,False,False
a7o_l1_C0007_0757__A7R_H48,a7o_l1_C0007_0757,48,A7R_HORIZON_HOLD,raw_validation_nonpositive,False,False
a7o_l1_C0007_0757__A7R_H72,a7o_l1_C0007_0757,72,A7R_HORIZON_MAY_VETOED,may_residual_funding_negative,True,False
a7o_l1_C0007_0757__A7R_H96,a7o_l1_C0007_0757,96,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0007_0484__A7R_H4,a7o_l1_C0007_0484,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0007_0484__A7R_H8,a7o_l1_C0007_0484,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0007_0484__A7R_H12,a7o_l1_C0007_0484,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0484__A7R_H24,a7o_l1_C0007_0484,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0484__A7R_H48,a7o_l1_C0007_0484,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0484__A7R_H72,a7o_l1_C0007_0484,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0007_0484__A7R_H96,a7o_l1_C0007_0484,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0007_0581__A7R_H4,a7o_l1_C0007_0581,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0581__A7R_H8,a7o_l1_C0007_0581,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0581__A7R_H12,a7o_l1_C0007_0581,12,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0581__A7R_H24,a7o_l1_C0007_0581,24,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0581__A7R_H48,a7o_l1_C0007_0581,48,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0007_0581__A7R_H72,a7o_l1_C0007_0581,72,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive,False,False
a7o_l1_C0007_0581__A7R_H96,a7o_l1_C0007_0581,96,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0017_0372__A7R_H4,a7o_l1_C0017_0372,4,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0372__A7R_H8,a7o_l1_C0017_0372,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0372__A7R_H12,a7o_l1_C0017_0372,12,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0372__A7R_H24,a7o_l1_C0017_0372,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0372__A7R_H48,a7o_l1_C0017_0372,48,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0372__A7R_H72,a7o_l1_C0017_0372,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0372__A7R_H96,a7o_l1_C0017_0372,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0564__A7R_H4,a7o_l1_C0017_0564,4,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0564__A7R_H8,a7o_l1_C0017_0564,8,A7R_HORIZON_HOLD,lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0564__A7R_H12,a7o_l1_C0017_0564,12,A7R_HORIZON_HOLD,cost30_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0564__A7R_H24,a7o_l1_C0017_0564,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0564__A7R_H48,a7o_l1_C0017_0564,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0017_0564__A7R_H72,a7o_l1_C0017_0564,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0564__A7R_H96,a7o_l1_C0017_0564,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0017_0177__A7R_H4,a7o_l1_C0017_0177,4,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0017_0177__A7R_H8,a7o_l1_C0017_0177,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0017_0177__A7R_H12,a7o_l1_C0017_0177,12,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0017_0177__A7R_H24,a7o_l1_C0017_0177,24,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive,False,False
a7o_l1_C0017_0177__A7R_H48,a7o_l1_C0017_0177,48,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0017_0177__A7R_H72,a7o_l1_C0017_0177,72,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0017_0177__A7R_H96,a7o_l1_C0017_0177,96,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0019_0387__A7R_H4,a7o_l1_C0019_0387,4,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0019_0387__A7R_H8,a7o_l1_C0019_0387,8,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0019_0387__A7R_H12,a7o_l1_C0019_0387,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0019_0387__A7R_H24,a7o_l1_C0019_0387,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_0387__A7R_H48,a7o_l1_C0019_0387,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_0387__A7R_H72,a7o_l1_C0019_0387,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_0387__A7R_H96,a7o_l1_C0019_0387,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_0949__A7R_H4,a7o_l1_C0019_0949,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0019_0949__A7R_H8,a7o_l1_C0019_0949,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0019_0949__A7R_H12,a7o_l1_C0019_0949,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0019_0949__A7R_H24,a7o_l1_C0019_0949,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0019_0949__A7R_H48,a7o_l1_C0019_0949,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0019_0949__A7R_H72,a7o_l1_C0019_0949,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0019_0949__A7R_H96,a7o_l1_C0019_0949,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0019_1454__A7R_H4,a7o_l1_C0019_1454,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0019_1454__A7R_H8,a7o_l1_C0019_1454,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0019_1454__A7R_H12,a7o_l1_C0019_1454,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0019_1454__A7R_H24,a7o_l1_C0019_1454,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0019_1454__A7R_H48,a7o_l1_C0019_1454,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_1454__A7R_H72,a7o_l1_C0019_1454,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0019_1454__A7R_H96,a7o_l1_C0019_1454,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H4,a7o_l1_C0020_1255,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H8,a7o_l1_C0020_1255,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H12,a7o_l1_C0020_1255,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H24,a7o_l1_C0020_1255,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H48,a7o_l1_C0020_1255,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H72,a7o_l1_C0020_1255,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1255__A7R_H96,a7o_l1_C0020_1255,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_1549__A7R_H4,a7o_l1_C0020_1549,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H8,a7o_l1_C0020_1549,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H12,a7o_l1_C0020_1549,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H24,a7o_l1_C0020_1549,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H48,a7o_l1_C0020_1549,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H72,a7o_l1_C0020_1549,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_1549__A7R_H96,a7o_l1_C0020_1549,96,A7R_HORIZON_RESEARCH_CANDIDATE_DIAGNOSTIC,,True,True
a7o_l1_C0020_2028__A7R_H4,a7o_l1_C0020_2028,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_2028__A7R_H8,a7o_l1_C0020_2028,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_2028__A7R_H12,a7o_l1_C0020_2028,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0020_2028__A7R_H24,a7o_l1_C0020_2028,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_2028__A7R_H48,a7o_l1_C0020_2028,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_2028__A7R_H72,a7o_l1_C0020_2028,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0020_2028__A7R_H96,a7o_l1_C0020_2028,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H4,a7o_l1_C0025_0193,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H8,a7o_l1_C0025_0193,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H12,a7o_l1_C0025_0193,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H24,a7o_l1_C0025_0193,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H48,a7o_l1_C0025_0193,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H72,a7o_l1_C0025_0193,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0193__A7R_H96,a7o_l1_C0025_0193,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0387__A7R_H4,a7o_l1_C0025_0387,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0025_0387__A7R_H8,a7o_l1_C0025_0387,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0025_0387__A7R_H12,a7o_l1_C0025_0387,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0025_0387__A7R_H24,a7o_l1_C0025_0387,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0025_0387__A7R_H48,a7o_l1_C0025_0387,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0387__A7R_H72,a7o_l1_C0025_0387,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0387__A7R_H96,a7o_l1_C0025_0387,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H4,a7o_l1_C0025_0484,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail,True,False
a7o_l1_C0025_0484__A7R_H8,a7o_l1_C0025_0484,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H12,a7o_l1_C0025_0484,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H24,a7o_l1_C0025_0484,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H48,a7o_l1_C0025_0484,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H72,a7o_l1_C0025_0484,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0025_0484__A7R_H96,a7o_l1_C0025_0484,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0031_0373__A7R_H4,a7o_l1_C0031_0373,4,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0031_0373__A7R_H8,a7o_l1_C0031_0373,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0031_0373__A7R_H12,a7o_l1_C0031_0373,12,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0031_0373__A7R_H24,a7o_l1_C0031_0373,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0031_0373__A7R_H48,a7o_l1_C0031_0373,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0031_0373__A7R_H72,a7o_l1_C0031_0373,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
